media_id,media_name,title,published_date,url,category,author
ART023,Večernji list,"Tko je Toni Kumerle, čovjek koji je gazio ruže za žrtve femicida",2025-12-07,https://www.vecernji.hr/kultura/tko-je-toni-kumerle-covjek-koji-je-gazio-ruze-za-ztve-femicida-1914052,mainstream_incident,Milena Zajović
ART001,Ziher.hr,iZLET: Volimo uživati u svakom poslu kojim se bavimo,2016-07-26,https://www.ziher.hr/intervju-izlet/,music_press,Ivan Košar
ART002,Barikada.com,"iZLET – Nikad ne znaš, to je ono… – recenzija albuma",2016-10-27,https://barikada.com/izlet-nikad-ne-znas-to-je-ono/,music_press,Dragutin Matošević
ART024,Večernji list,Policija prijavila muškarca koji je gazio ruže za žrtve femicida,2025-12-09,https://www.vecernji.hr/vijesti/policija-prijavila-muskarca-koji-je-gazio-ruze-za-zrtve-femicida-evo-koja-mu-kazna-prijeti-1914609,mainstream_incident,
ART025,Jutarnji list,Policija prijavila muškarca koji je u centru Zagreba gazio ruže za ubijene žene,2025-12-09,https://www.jutarnji.hr/vijesti/zagreb/incident-ruze-trg-bana-jelacica-femicid-performans-15651048,mainstream_incident,
ART026,Net.hr,Ruže za žrtve femicida u Zagrebu gazio je Toni Kumerle,2025-12-07,https://net.hr/danas/vijesti/ruze-za-zrtve-femicida-u-zagrebu-gazio-je-toni-kumerle-094ec3a4-d395-11f0-9a51-9600040c8f8e,mainstream_incident,
ART027,Novi list,VIDEO Oglasio se tip koji je gazio ruže za žrtve femicida na Jelačićevom trgu,2025-12-08,https://www.novilist.hr/novosti/hrvatska/video-oglasio-se-tip-koji-je-gazio-ruze-za-zrtve-femicida-na-jelacicevom-trgu-to-je-bio-performans/,mainstream_incident,
ART028,24sata.hr,Muškarac koji gazi ruže nije naš član našeg bratstva,2025-12-07,https://www.24sata.hr/news/organizatori-javnih-molitvi-muskarac-koji-gazi-ruze-nije-nas-clan-naseg-bratstva-1093308,mainstream_incident,
ART029,Direktno.hr,Javio se muškarac koji je gazio po ružama — Moj čin je bio spontani performans,2025-12-07,https://direktno.hr/direkt/javio-se-muskarac-koji-je-gazio-po-ruzama-moj-cin-je-bio-spontani-performans-ne-napad-385770/,mainstream_incident,
ART030,Wikipedia HR,iZLET – Wikipedija,2026-05-02,https://hr.wikipedia.org/wiki/IZLET,encyclopedic,
