url,fond,naziv_entiteta,canonical_entity_id,schema_tip,godina,status,identifikatori,sameAs_count,napomena
/,Root,iZLET,hub:homepage,MusicGroup,2016,Live,WD:Q139595627; WD:Q139595619; WD:Q139595518; MB:b973e6f2-c282-473a-b2fb-ffb4466b312f; SP:11wCFDSyZy0LfWkgllak6d,12,
/arhiva,Root,Arhiva,hub:arhiva,WebPage,2007,Live,,0,
/bio,Root,O bendu,hub:bio,AboutPage,2007,Live,WD:Q139595518; MB:b973e6f2-c282-473a-b2fb-ffb4466b312f,0,
/bkm,Root,Braća Kumerle Music,hub:bkm,Organization,,Stub,Discogs:4368922,0,Label entity; no HTML
/diskografija,Root,Diskografija,hub:diskografija,CollectionPage,2009,Live,SP:11wCFDSyZy0LfWkgllak6d,0,
/en/,Root,iZLET,hub:en,WebPage,2007,Live,WD:Q139595518; MB:b973e6f2-c282-473a-b2fb-ffb4466b312f; SP:11wCFDSyZy0LfWkgllak6d,4,
/en/biography/,Root,About,hub:biography,AboutPage,2007,Live,WD:Q139595518; MB:b973e6f2-c282-473a-b2fb-ffb4466b312f,0,
/en/discography/,Root,Discography,hub:discography,CollectionPage,2016,Live,SP:11wCFDSyZy0LfWkgllak6d,0,
/kontakt,Root,Kontakt,hub:kontakt,WebPage,2026,Live,SP:11wCFDSyZy0LfWkgllak6d,0,
/video,Root,Video,hub:video,WebPage,2009,Live,,0,
/vizualni-identitet,Root,Vizualni identitet,hub:vizualni_identitet,AboutPage,2026,Live,WD:Q139595518; MB:b973e6f2-c282-473a-b2fb-ffb4466b312f; SP:11wCFDSyZy0LfWkgllak6d,5,
/arhiva/ti-si-cudesna,Songs,Ti si čudesna,work:ti_si_cudesna,MusicRecording,2009,Stub,ISRC:HRA371600088; SP:3aqsGyAU8uZ7gLJLRIsR06,0,CMC Demo 2009; highest authority_score=80
/pjesme/cast,Songs,Čast,work:cast,MusicRecording,2019,Live,ISRC:HRA371800845; WD:Q139595518; MB:c11545fd-982a-44b9-916f-ab5231c376be; MB:dd92f195-757b-4411-8959-9d2cbe9f796b; MB:b973e6f2-c282-473a-b2fb-ffb4466b312f; SP:6xjlYNlucQ1KK5Xh9VgMqM,5,
/pjesme/frane-tente,Songs,Frane Tente,work:frane_tente,MusicRecording,2020,Live,ISRC:QT6F32536381; WD:Q139595518; MB:0999a678-4586-48c5-a1f1-598ffaa69977; MB:48601b97-cff8-4346-af89-987de31bcfa1; MB:b973e6f2-c282-473a-b2fb-ffb4466b312f; SP:1Vg4lIa8nKwoJGgsJt0X99,10,
/pjesme/isuse-moj,Songs,Isuse moj,work:isuse_moj,MusicRecording,2026,Stub,,0,BKM singl 2026
/pjesme/krijesovi-lazi,Songs,Krijesovi laži,work:krijesovi_lazi,MusicRecording,2025,Live,ISRC:QT6F32539173; WD:Q139595518; MB:b973e6f2-c282-473a-b2fb-ffb4466b312f; MB:94dd1837-6977-4937-a02e-b8258b932b2a; SP:11wCFDSyZy0LfWkgllak6d,3,
/pjesme/moj-dinamo,Songs,Moj Dinamo,work:moj_dinamo,MusicRecording,2024,Live,ISRC:QT6F32530626; WD:Q139595518; MB:08a4c06f-f83f-4d88-ac3a-b3ac6160d7d6; MB:d89204a8-e68d-42e6-b719-8be781132800; MB:b973e6f2-c282-473a-b2fb-ffb4466b312f; SP:5gfjKvC0yxasJd0hafXTwx,10,
