title,slug,year,work_type,confidence,primary_source,notes,discovery_status
Pernastica,pernastica,2016,song,confirmed,discogs,Nikad Ne Znas To Je Ono | Discogs 12898284 | YT:jTwfvrf9SoM | YT:HMMNfD9h_Bo,confirmed
Dva Gemišta,dva-gemista,2016,song,confirmed,discogs,Nikad Ne Znas To Je Ono | Discogs 12898284 | YT:uYzk4ENyt4E,confirmed
Oni Spavaju,oni-spavaju,2016,song,confirmed,discogs,Nikad Ne Znas To Je Ono | Discogs 12898284 | YT:xA0FRa4rTBM,confirmed
Svemir,svemir,2016,song,confirmed,discogs,Nikad Ne Znas To Je Ono | Discogs 12898284 | YT:HHNCp38peXg | YT:IURMl2MYTJQ,confirmed
Imam,imam,2016,song,confirmed,discogs,Nikad Ne Znas To Je Ono | Discogs 12898284 | YT:FbneOhWS86M,confirmed
Ne Žurim,ne-zurim,2016,song,confirmed,discogs,Nikad Ne Znas To Je Ono | Discogs 12898284 | YT:9UEfK9UCgVo | YT:CIOTzxONSqw | YT:kreXyG3eH7o,confirmed
Noćima (Here I Am),nocima-here-i-am,2016,song,confirmed,discogs,Nikad Ne Znas To Je Ono | Discogs 12898284,confirmed
Kako Da Se Smijem,kako-da-se-smijem,2016,song,confirmed,discogs,Nikad Ne Znas To Je Ono | Discogs 12898284 | YT:-UapiR1cfhw,confirmed
Maša,masa,2016,song,confirmed,discogs,Nikad Ne Znas To Je Ono | Discogs 12898284 | YT:XXQ-Bdmx7_0,confirmed
Topim Se I Gubim Se,topim-se-i-gubim-se,2016,song,confirmed,discogs,Nikad Ne Znas To Je Ono | Discogs 12898284 | YT:WLSAwgXKFpQ,confirmed
Ti Si Čudesna,ti-si-cudesna,2009,song,confirmed,discogs,Nikad Ne Znas To Je Ono | Discogs 12898284 | orig.2009 CMC Demo Discogs 12309194 | YT:Hl_FpyiuK4k | YT:Kh6tcDe0Zug,confirmed
Majčin Skut,majcin-skut,2016,song,confirmed,discogs,Nikad Ne Znas To Je Ono | Discogs 12898284 | YT:LryxvBJBUuU | YT:pp3jWW1gad8 | YT:3ZGoz2pm8ug,confirmed
Žalo,zalo,2013,song,confirmed,discogs,Nikad Ne Znas To Je Ono | Discogs 12898284 | first confirmed 2013 Dallas Promo Sampler Discogs 25236337 | YT:HrpRU2tpg2I | YT:hviyXdTsKLM,confirmed
Čast,cast,2019,song,confirmed,discogs,Katarza | Discogs 35923165 | YT:V8Jw0Letyyo | YT:pwUEL73aQ4U | YT:K90ntS9oIEM | YT:1gPfgO3daPk,confirmed
U svijetu bajki,u-svijetu-bajki,2019,song,confirmed,discogs,Katarza | Discogs 35923165 | YT:6JKQ2dUaADs | YT:u_V9dF2kqv0,confirmed
Uredi se,uredi-se,2019,song,confirmed,discogs,Katarza | Discogs 35923165 | YT:qED4w7e6b_8,confirmed
Tko si ti,tko-si-ti,2019,song,confirmed,discogs,Katarza | Discogs 35923165 | YT:Bb1gP-nI_iI | YT:1PbmjHqVu-s,confirmed
Urota duhova,urota-duhova,2019,song,confirmed,discogs,Katarza | Discogs 35923165 | YT:doTeB1CQGEE | YT:sXMkh_JFJbk,confirmed
Oceana,oceana,2019,song,confirmed,discogs,Katarza | Discogs 35923165 | YT:v8CPTyqaWQ0,confirmed
Siluete,siluete,2019,song,confirmed,discogs,Katarza | Discogs 35923165 | YT:xTKPFeNEtl4,confirmed
Zaklopi moje oči,zaklopi-moje-oci,2019,song,confirmed,discogs,Katarza | Discogs 35923165 | YT:QKr3uo8vIe8,confirmed
Zašto šutim,zasto-sutim,2019,song,confirmed,discogs,Katarza | Discogs 35923165 | YT:EwO_scny9dc | YT:VTkmEP4YEw8,confirmed
Čaroban otok,caroban-otok,2019,song,confirmed,discogs,Katarza | Discogs 35923165 | YT:isEGgQ8Eyic,confirmed
Poslije svega,poslije-svega,2019,song,confirmed,discogs,Katarza | Discogs 35923165 | YT:wE5qzHgG10I,confirmed
