video_id,title_current,upload_date,duration,view_count,like_count,comment_count,has_captions,description_length,thumbnail_url,upload_year,duration_seconds,authority_score,probable_tier,era,type,primary_anchor,secondary_anchor,canonical_status,notes
lLMMh7aMMMc,Hodočasnici pjevaju Zdravo Kraljice Mira #Međugorje #ZdravoKraljiceMira,2026-05-17,PT33S,7838,674,29,False,389,https://i.ytimg.com/vi/lLMMh7aMMMc/maxresdefault.jpg,2026,33,65,B,,,,,raw,
T3KEYN7_E_Y,Pozdrav iz Macole | Hodočašće ratnika (DAN 06),2026-05-12,PT1M20S,1646,99,10,False,1178,https://i.ytimg.com/vi/T3KEYN7_E_Y/maxresdefault.jpg,2026,80,65,B,,,,,raw,
8wKzx55sFTk,Majko mira moli za nas 🙏🏻✝️🇭🇷Hvaljen Isus i Marija!,2026-05-12,PT44S,14907,459,31,False,0,https://i.ytimg.com/vi/8wKzx55sFTk/sddefault.jpg,2026,44,60,C,,,,,raw,
P0lshsQhP1A,Striče Ivane kod partizanskog spomenika U Metkoviću,2026-05-08,PT1M14S,2884,286,21,False,0,https://i.ytimg.com/vi/P0lshsQhP1A/maxresdefault.jpg,2026,74,60,C,,,,,raw,
pYZPQAfMVc4,A pamćenje naše gori još jače od njihovih KRIJESOVA 🔥🎷🎶 #shorts,2026-05-08,PT24S,5141,261,14,False,0,https://i.ytimg.com/vi/pYZPQAfMVc4/maxresdefault.jpg,2026,24,60,C,,,,,raw,
g4pyno_c67k,Hodočašće ratnika - VLOG (Dan 01) #shorts,2026-05-07,PT1M46S,4588,535,63,False,413,https://i.ytimg.com/vi/g4pyno_c67k/maxresdefault.jpg,2026,106,65,B,,,,,raw,
fAKym-wrwbA,Hodočašće ratnika 🕊️ Zagreb → Međugorje | iZLET — Znakovlje Hrvata #shorts,2026-05-06,PT31S,3921,215,9,False,1672,https://i.ytimg.com/vi/fAKym-wrwbA/maxresdefault.jpg,2026,31,65.0,B,,,,,raw,
1PVKpbWW1Vs,Ivo Fabijan Mrvelj - Kreni Gardo | Braća Kumerle cover,2026-04-25,PT2M36S,1121,124,19,False,2805,https://i.ytimg.com/vi/1PVKpbWW1Vs/maxresdefault.jpg,2026,156,65,B,,,,,raw,
KGnfJ1HZQDk,Za svakog Hrvata koji je daleko od kuće 🇭🇷 #croatia #emotion,2026-04-22,PT52S,37420,681,55,False,426,https://i.ytimg.com/vi/KGnfJ1HZQDk/maxresdefault.jpg,2026,52,65,B,,,,,raw,
YM5dT_yM31Y,Zašto su svi znatiželјni za braćom Kumerle #shorts #trending,2026-04-21,PT1M28S,2767,258,21,False,1452,https://i.ytimg.com/vi/YM5dT_yM31Y/maxresdefault.jpg,2026,88,65,B,,,,,raw,
