video_id,title_current,upload_date,upload_year,duration_seconds,view_count,like_count,comment_count,authority_score,probable_tier,era,type,primary_anchor,secondary_anchor,canonical_status,notes
1PVKpbWW1Vs,Ivo Fabijan Mrvelj - Kreni Gardo | Braća Kumerle cover,2026-04-25,2026,156,1121,124,19,65,B,,,,,raw,
npMipRAT_9s,Thompson - Ne Varaj Me 💔 | Braća Kumerle Cover 🇭🇷,2025-11-24,2025,79,42853,1080,103,65,B,,,,,raw,
ZnBhOdwZTWg,Kralj Tomislav - Thompson Cover LIVE Split Riva 🇭🇷⚔️ | Braća Kumerle,2025-11-22,2025,17,58550,891,49,65,B,,,,,raw,
dcqmHVzYg6A,Hey Brother - Emotivni Akustični Cover 💔 | Avicii Tribute Braća Kumerle,2025-10-30,2025,57,4207,66,3,57.04,C,,,,,raw,
mNgJvvb8kEw,Hrvatska Je Tvoja - Nikom Ne Daj Nju 🇭🇷 | Thompson Cover | Braća Kumerle,2025-10-30,2025,15,59411,800,47,65,B,,,,,raw,
NWD7Yuy7F4Q,Ne Varaj Me (Cover) 🎸🇭🇷 | Braća Kumerle,2025-03-30,2025,79,2442,181,24,65,C,,,,,raw,
DpNWzdt_0C8,FILM - Idemo kroz život 🎵🎶 (braća Kumerle cover),2024-04-29,2024,249,428,20,5,60.56,C,,,,,raw,
utQwTIvZcxI,Jura Stublić - Gdje sam bio ne pitaj me 🎵🎶 (braća Kumerle cover),2021-09-21,2021,223,4872,180,26,65,C,,,,,raw,
rRNezC9CS2A,Eric Clapton - This Has Gotta Stop (Kumerle Brothers acoustic cover),2021-09-01,2021,215,1971,67,10,65,C,,,,,raw,
dq4DM5n_q0E,Iron Maiden - Aces high (Instrumental cover by Kumerle brothers) 2021,2021-06-10,2021,275,237,14,4,58.98,C,,,,,raw,
HjTyNUoC7pk,Hvalospjev ljubavi 🎵🎶 (braća Kumerle cover),2021-02-17,2021,209,664,29,3,57.04,C,,,,,raw,
lrb4J1DOy9g,Ivo Fabijan Mrvelj - Kad Sklopim Oči | Braća Kumerle (iZLET) cover,2020-05-10,2020,193,18022,493,77,65,C,,,,,raw,
D3AV6rovdtg,Đani Maršan - Bože čuvaj Hrvatsku 🎵🎶 (braća Kumerle cover),2020-04-12,2020,169,1331,57,4,58.98,C,,,,,raw,
Jp3qagACIrQ,Frane Šiško - Rodila me majka Hrvatica (braća Kumerle cover),2020-04-05,2020,216,4289,152,16,65,C,,,,,raw,
AhoDHz_8T3M,Dražen Žanko - Od stoljeća sedmog 🎵🎶 (braća Kumerle cover),2020-03-29,2020,211,2101,62,12,65,C,,,,,raw,
96kmdxOyeL4,Bojna Čavoglave Cover - Glazbeni Odgovor na Pokušaje Zabrane 🇭🇷 | Braća Kumerle,2020-03-22,2020,281,18431,573,76,65,C,,,,,raw,
WQKBBdlfxQU,Vilo Velebita 🎵🎶 (braća Kumerle cover),2020-03-08,2020,162,2860,135,11,65,C,,,,,raw,
0EoiPvI0pqI,"Marjane, Marjane 🎵🎶 (braća Kumerle cover)",2020-03-01,2020,148,2679,95,10,65,C,,,,,raw,
-2RvRfpKVqM,Toni Ćavar - Hercegovci širom svijeta 🎵🎶 (braća Kumerle cover),2020-02-23,2020,229,2002,67,13,65,C,,,,,raw,
VkML3HTQIsA,Samo reci riječ 🎵🎶 (braća Kumerle cover),2019-09-30,2019,259,591,33,5,60.56,C,,,,,raw,
WCFpIPXpXJc,Ivo Fabijan Mrvelj - Pjesma o Grgi 🎵🎶 (braća Kumerle cover),2019-09-02,2019,218,36068,621,89,65,C,,,,,raw,
maMhdXJuvXo,Oliver Dragojević - Trag u beskraju 🎵🎶 (braća Kumerle cover),2019-07-12,2019,256,1095,38,1,51.02,C,,,,,raw,
-4KDf_fauUI,Mate Bulić - Domu mom 🎵🎶 (braća Kumerle cover),2018-12-21,2018,266,1443,29,5,68.56,A,,,,,raw,
etL9H3v1zjA,Pink Floyd - On the turning away (braća Kumerle cover),2012-12-11,2012,329,955,15,6,69.9,A,,,,,raw,
