video_id,title_current,upload_date,upload_year,duration_seconds,view_count,like_count,comment_count,authority_score,probable_tier,era,type,primary_anchor,secondary_anchor,canonical_status,notes
Kh6tcDe0Zug,iZLET - Ti si čudesna | OFFICIAL VIDEO,2009-05-25,2009,208,5061,48,11,80,A,pre_2012,official_video,,,raw,
gk5AHkbyLVU,iZLET - Krijesovi Laži | OFFICIAL VIDEO,2025-06-22,2025,247,13356,545,108,75,A,2025_plus,official_video,,,raw,
xp-f5vjciCk,iZLET - Moj Dinamo | OFFICIAL VIDEO,2024-03-17,2024,154,69445,638,56,75,A,2019_2024,official_video,,,raw,
AltC9RZWsd4,iZLET -  Znakovlje Hrvata,2021-04-16,2021,223,2561,116,18,75,A,2019_2024,official_video,,,raw,
K90ntS9oIEM,iZLET - Čast | OFFICIAL VIDEO,2019-11-10,2019,248,4915,105,20,75,A,2019_2024,official_video,,,raw,
NOd5DcwBB-w,iZLET - Obale se tope,2018-11-25,2018,210,4372,33,9,73.0,A,2012_2018,official_video,,,raw,
HMMNfD9h_Bo,Pernastica - Ljetna Rock Balada s Jadrana | iZLET Braća Kumerle (Official Video),2010-11-27,2010,212,3353,34,3,72.04,A,pre_2012,official_video,,,raw,
hviyXdTsKLM,Žalo - Hrvatska Rock Balada o Moru i Slobodi | iZLET Braća Kumerle (Official Video),2010-09-02,2010,148,1525,10,3,72.04,A,pre_2012,official_video,,,raw,
l811vDOLeIw,iZLET - Postoji samo jedan Bog,2021-05-30,2021,188,450,23,5,70.56,B,2019_2024,official_video,,,raw,
etL9H3v1zjA,Pink Floyd - On the turning away (braća Kumerle cover),2012-12-11,2012,329,955,15,6,69.9,C,2012_2018,cover,,,raw,
Ri0cJPe72uc,Ljeto u Maximiru - Zagrebačka Ljetna Rock Himna | iZLET Braća Kumerle (Official Video),2010-09-13,2010,187,1788,12,2,69.54,A,pre_2012,official_video,,,raw,
-4KDf_fauUI,Mate Bulić - Domu mom 🎵🎶 (braća Kumerle cover),2018-12-21,2018,266,1443,29,5,68.56,C,2012_2018,cover,,,raw,
RKxeAaIqHMI,iZLET - Vlak Live iz Tvornice 2012 | Otvaranje Albuma Leteći Majmuni 🚂,2012-06-18,2012,105,1603,11,5,68.56,A,2012_2018,live,,,raw,
IURMl2MYTJQ,iZLET - Svemir Live 2008 | Nostalgični Koncert iz Starog Tavana 🎸,2012-06-09,2012,181,623,10,5,68.56,A,pre_2012,live,,,raw,
hhLKTaqshvE,iZLET - Spasi me | OFFICIAL VIDEO,2011-12-28,2011,216,470,6,2,67.22,A,pre_2012,official_video,,,raw,
3gkz1TgqFpU,iZLET - Oltar spasa,2021-05-29,2021,315,272,18,3,67.04,B,2019_2024,official_video,,,raw,
YRZ9NpV6LMs,iZLET - Ljeto Ide Majko | OFFICIAL VIDEO,2012-09-12,2012,179,1731,16,4,66.98,B,2012_2018,official_video,,,raw,
FYYSZX601uw,iZLET feat. Ante Cash - Nemam Ni Jednog Prijatelja Policajca,2012-06-18,2012,120,538,10,4,66.98,B,2012_2018,official_video,,,raw,
sXMkh_JFJbk,"iZLET - Urota duhova (live @ Route 66, Zagreb)",2014-03-24,2014,364,548,7,4,65.53,B,2012_2018,live,,,raw,
cX1TgmIcM1M,iZLET - Oo da sa krilima | OFFICIAL VIDEO,2013-01-26,2013,194,694,7,4,65.53,B,2012_2018,official_video,,,raw,
saci9JTd0Kk,iZLET - i Migranti | Završni dio Marjanske Trilogije,2016-08-19,2016,247,565,11,3,65.04,B,2012_2018,official_video,,,raw,
lLMMh7aMMMc,Hodočasnici pjevaju Zdravo Kraljice Mira #Međugorje #ZdravoKraljiceMira,2026-05-17,2026,33,7838,674,29,65,C,2025_plus,short,,,raw,
T3KEYN7_E_Y,Pozdrav iz Macole | Hodočašće ratnika (DAN 06),2026-05-12,2026,80,1646,99,10,65,C,2025_plus,vlog,,,raw,
g4pyno_c67k,Hodočašće ratnika - VLOG (Dan 01) #shorts,2026-05-07,2026,106,4588,535,63,65,C,2025_plus,short,,,raw,
fAKym-wrwbA,Hodočašće ratnika 🕊️ Zagreb → Međugorje | iZLET — Znakovlje Hrvata #shorts,2026-05-06,2026,31,3921,215,9,65.0,C,2025_plus,short,,,raw,
1PVKpbWW1Vs,Ivo Fabijan Mrvelj - Kreni Gardo | Braća Kumerle cover,2026-04-25,2026,156,1121,124,19,65,B,2025_plus,cover,,,raw,
